gameId,year,startTime,attendance,awayTeamName,homeTeamName,venueName,venueState,homeFinalRuns,awayFinalRuns,inningNumber,gameStatus
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
01d76e9f-6095-40dd-9283-c750bbdbe255,2016,2016-10-19 00:08:00 UTC,54269,Cubs,Dodgers,Dodger Stadium,CA,6,0,9,closed
